display_name,gpt-4o,claude-3-5-sonnet-20241022,grok-2-1212,gemini-2.0-flash-exp,llama-3.1-nemotron-70b-instruct,majority_vote,confidence,in_model
Ocular tuberculosis,14,14,14,14,14,14,1.0,True
Group living,2,19,19,2,19,19,0.6,True
Congenital central hypoventilation syndrome,14,14,14,14,14,14,1.0,True
Lower abdominal pain,14,14,14,14,14,14,1.0,True
Podophyllin,14,14,14,14,14,14,1.0,True
Complementary therapy,14,14,14,14,14,14,1.0,True
Melopsittacus,2,2,2,2,2,2,1.0,True
Urinary sediment,14,14,14,14,14,14,1.0,True
Axenic culture,2,2,2,2,2,2,1.0,True
Myocardial reperfusion,14,14,14,14,14,14,1.0,True
Increased heart rate,14,14,14,14,14,14,1.0,True
Neuropsychological testing,14,18,18,18,18,18,0.8,True
Cold injury,14,14,14,14,14,14,1.0,True
Penicillin allergy,14,14,14,14,14,14,1.0,True
Mesenteries,14,2,14,14,14,14,0.8,True
Columnar Cell,2,2,2,2,14,2,0.8,True
Parietal Pleura,14,14,14,14,14,14,1.0,True
Hearing problems,14,14,14,14,14,14,1.0,True
Karnofsky Performance Status,14,14,14,14,14,14,1.0,True
Bone maturation,14,14,14,14,14,14,1.0,True
Nurse Administrator,14,14,14,3,14,14,0.8,True
Glomerular mesangium,14,14,14,14,14,14,1.0,True
Upper abdomen,14,14,14,14,14,14,1.0,True
X-Ray Phase-Contrast Imaging,16,16,16,16,16,16,1.0,True
Water-Electrolyte Balance,14,14,14,14,14,14,1.0,True
Hypofibrinogenemia,14,14,14,14,14,14,1.0,True
Bacterial overgrowth,14,14,14,14,14,14,1.0,True
Audiologist,14,14,14,14,14,14,1.0,True
Dengue haemorrhagic fever,14,14,14,14,14,14,1.0,True
Cervical radiculopathy,14,14,14,14,14,14,1.0,True
Polyvalent Vaccine,14,14,14,14,14,14,1.0,True
Pectoral girdle,2,2,2,2,14,2,0.8,True
Dantrolene Sodium,14,14,14,14,14,14,1.0,True
Subtotal thyroidectomy,14,14,14,14,14,14,1.0,True
Tooth disease,14,14,14,14,14,14,1.0,True
GI bleeding,14,14,14,14,14,14,1.0,True
Fungal protein,2,2,2,2,14,2,0.8,True
Driving under the influence,14,19,14,14,14,14,0.8,True
Perivascular Epithelioid Cell,14,14,14,14,14,14,1.0,True
Heterotaxy,14,14,14,14,14,14,1.0,True
Renal dysplasia,14,14,14,14,14,14,1.0,True
Vancomycin-Resistant Enterococci,14,14,14,14,14,14,1.0,True
Intravenous route,14,14,14,14,14,14,1.0,False
Obstetric nursing,14,14,14,14,14,14,1.0,True
Detrusor sphincter dyssynergia,14,14,14,14,14,14,1.0,True
Acute Stress Disorder,14,18,18,18,18,18,0.8,True
Alpha-Lipoic Acid,14,4,4,4,14,4,0.6,True
Pituitary disorder,14,14,14,14,14,14,1.0,True
Radioisotope Teletherapy,14,14,14,14,14,14,1.0,True
Isoprostanes,4,14,14,14,14,14,0.8,True
Osmanthus fragrans,2,2,2,2,2,2,1.0,True
Branchial Cyst,14,14,14,14,14,14,1.0,True
Low Dose Radiation,14,14,14,14,16,14,0.8,True
Beta Rhythm,14,14,14,18,18,14,0.6,True
Body fat distribution,14,2,14,14,14,14,0.8,True
African Green Monkey,2,2,2,2,2,2,1.0,True
Positive-Pressure Respiration,14,14,14,14,14,14,1.0,True
DNA Transposable Elements,2,2,2,2,2,2,1.0,True
Primary Syphilis,14,14,14,14,14,14,1.0,True
Fasting blood sugar,14,14,14,14,14,14,1.0,True
Male Homosexuality,19,19,19,18,18,19,0.6,True
Gastric Polyp,14,14,14,14,14,14,1.0,True
Phyllanthus emblica,2,2,2,2,2,2,1.0,True
Asbestos fibers,12,12,12,12,12,12,1.0,True
Enteric bacteria,2,2,2,2,2,2,1.0,True
Oral tolerance,14,14,14,2,14,14,0.8,True
Placenta Percreta,14,14,14,14,14,14,1.0,True
Nursing records,14,14,14,14,14,14,1.0,True
Homoharringtonine,14,14,14,14,14,14,1.0,True
Parametrial,14,14,14,14,14,14,1.0,True
Sperm Retrieval,14,14,14,14,14,14,1.0,True
Scorpion Venoms,2,2,2,2,14,2,0.8,True
Aerobacter aerogenes,2,2,2,2,2,2,1.0,True
Oral Microbiome,14,2,14,2,14,14,0.6,True
Tissue expander,14,14,14,14,14,14,1.0,True
Ovarian Cortex,2,2,2,2,14,2,0.8,True
Gross hematuria,14,14,14,14,14,14,1.0,True
Cardiac toxicity,14,14,14,14,14,14,1.0,True
Extensor Digitorum Communis,14,14,14,14,14,14,1.0,True
Punch Biopsy,14,14,14,14,14,14,1.0,True
Longissimus muscle,2,2,14,2,14,2,0.6,True
Temporomandibular Joint Dysfunction Syndrome,14,14,14,14,14,14,1.0,True
Coastal sea,9,9,9,9,9,9,1.0,True
Chronic granulocytic leukemia,14,14,14,14,14,14,1.0,True
Urinary flow,14,14,14,14,14,14,1.0,True
Stapes surgery,14,14,14,14,14,14,1.0,True
Phagocytic Cell,2,2,2,2,2,2,1.0,True
Calcium Compounds,4,4,4,4,4,4,1.0,True
Mature teratoma,14,14,14,14,14,14,1.0,True
Primary Tooth,14,14,14,14,14,14,1.0,True
Epidermophyton floccosum,2,2,2,14,14,2,0.6,True
Acupuncture analgesia,14,14,14,14,14,14,1.0,True
Native Hawaiians,11,11,19,11,11,11,0.8,True
Colony morphology,2,2,2,2,2,2,1.0,True
Controlled ventilation,14,7,8,7,7,7,0.6,True
Spectator sport,19,19,19,19,19,19,1.0,True
Ethnic discrimination,19,19,19,19,19,19,1.0,True
Dexamethasone Sodium Phosphate,14,14,14,14,14,14,1.0,True
Trucking industry,3,3,3,3,6,3,0.8,True
Weight Loss Surgery,14,14,14,14,14,14,1.0,True
Isotonic saline,14,14,14,14,14,14,1.0,True
EBSTEIN ANOMALY,14,14,14,14,14,14,1.0,True
Urinary Fistula,14,14,14,14,14,14,1.0,True
Follicular carcinoma,14,14,14,14,14,14,1.0,True
Pulmonary medicine,14,14,14,14,14,14,1.0,True
Mandibular arch,2,2,14,14,14,14,0.6,True
Anabolic Agents,14,14,14,14,14,14,1.0,True
Raccoon Dogs,2,2,2,2,2,2,1.0,True
Intestinal Cancer,14,14,14,14,14,14,1.0,True
Severe acute respiratory syndrome coronavirus,14,2,14,14,14,14,0.8,True
Marburg virus,14,2,14,14,14,14,0.8,True
Plastic bottle,8,12,12,12,8,12,0.6,True
Cis-trans-Isomerases,4,2,4,4,14,4,0.6,True
Spinal Cord Diseases,14,14,14,14,14,14,1.0,True
Autoimmune thrombocytopenia,14,14,14,14,14,14,1.0,True
Diaper Dermatitis,14,14,14,14,14,14,1.0,True
Interferon beta-1b,14,14,14,14,14,14,1.0,True
Mitochondrial Encephalomyopathies,14,14,14,14,14,14,1.0,True
Psychological Theory,18,18,18,18,18,18,1.0,True
Obstetrical Forceps,14,14,14,14,14,14,1.0,True
Antipsychotic Agent,14,14,14,14,14,14,1.0,True
Artificial fertilization,2,2,14,14,14,14,0.6,True
Laparoscopes,14,14,14,14,14,14,1.0,True
Tetanus antitoxin,14,14,14,14,14,14,1.0,True
Cholinergic Fibers,14,2,14,14,14,14,0.8,True
Polynesians,11,11,9,11,11,11,0.8,True
Cannabis Dependence,14,18,14,18,18,18,0.6,True
Adverse Outcome Pathway,2,8,14,14,8,2,0.2,True
Paediatric intensive care unit,14,14,14,14,14,14,1.0,True
Left Ventricles,14,14,14,14,14,14,1.0,True
Hantavirus Infection,14,14,14,14,14,14,1.0,True
GUNSHOT INJURY,14,14,14,14,14,14,1.0,True
Anterior Eye Segment,14,14,14,14,14,14,1.0,True
Megaloblastic anaemia,14,14,14,14,14,14,1.0,True
Lees,4,12,4,4,10,4,0.6,True
Orotracheal intubation,14,14,14,14,14,14,1.0,True
Exocrine pancreas,14,2,14,2,14,14,0.6,True
Acute flaccid paralysis,14,14,14,14,14,14,1.0,True
Inner Cities,9,9,9,19,19,9,0.6,True
Inferior vena cava,14,14,14,14,14,14,1.0,True
Copd exacerbation,14,14,14,14,14,14,1.0,True
Mechanical heart,14,7,14,14,7,14,0.6,True
Psychiatric rehabilitation,14,18,18,18,18,18,0.8,True
Bartter's syndrome,14,14,14,14,14,14,1.0,True
Trichomonas Vaginitis,14,14,14,14,14,14,1.0,True
Omentectomy,14,14,14,14,14,14,1.0,True
Dermacentor reticulatus,2,2,2,2,2,2,1.0,True
Heart bypass,14,14,14,14,14,14,1.0,True
Convenience food,3,3,3,3,6,3,0.8,True
Retinal Disorder,14,14,14,14,14,14,1.0,True
Radical Hysterectomy,14,14,14,14,14,14,1.0,True
Biliary ducts,14,14,14,14,14,14,1.0,True
Adrenal disorder,14,14,14,14,14,14,1.0,True
Internal radiation,14,14,14,14,16,14,0.8,True
Privacy rights,17,17,17,17,17,17,1.0,True
In Situ Nick-End Labeling,14,2,2,2,14,2,0.6,True
Dental treatments,14,14,14,14,14,14,1.0,True
Indocyanine green angiography,14,14,14,14,14,14,1.0,True
Necrotizing Vasculitis,14,14,14,14,14,14,1.0,True
Mexican State,9,17,17,17,17,17,0.8,True
Conjunctival Diseases,14,14,14,14,14,14,1.0,True
Public defender,17,17,17,17,17,17,1.0,True
Endotoxic shock,14,14,14,14,14,14,1.0,True
Saphenous veins,14,14,14,14,14,14,1.0,True
Immune Dysfunction,14,14,14,14,14,14,1.0,True
Mutation Accumulation,2,2,2,2,2,2,1.0,True
Dairy foods,2,3,2,2,14,2,0.6,True
Posterior capsule opacification,14,14,14,14,14,14,1.0,True
Alcoholics Anonymous,18,19,18,18,18,18,0.8,True
Urethral Diseases,14,14,14,14,14,14,1.0,True
Gelatinases,2,2,2,2,14,2,0.8,True
Sinus Histiocytosis with Massive Lymphadenopathy,14,14,14,14,14,14,1.0,True
Minimal Brain Dysfunction,14,14,14,14,18,14,0.8,True
Salivary Proteins,2,2,2,2,14,2,0.8,True
Plant Immunity,2,2,2,2,2,2,1.0,True
Prostatic adenocarcinoma,14,14,14,14,14,14,1.0,True
Puccinia striiformis,2,2,2,2,2,2,1.0,True
2-Hydroxyethyl Methacrylate,4,4,4,4,4,4,1.0,True
Methylmalonic aciduria,14,14,14,14,14,14,1.0,True
Adrenal Hemorrhage,14,14,14,14,14,14,1.0,True
Ceratonia siliqua,2,2,2,2,2,2,1.0,True
Values clarification,18,18,18,18,18,18,1.0,True
Ranitidine Hydrochloride,14,14,14,14,14,14,1.0,True
Sitagliptin Phosphate,14,14,14,14,14,14,1.0,True
Contact urticaria,14,14,14,14,14,14,1.0,True
Peroxisome proliferator,2,2,2,2,14,2,0.8,True
Brain Contusion,14,14,14,14,14,14,1.0,True
Xanthomonas citri,2,2,2,2,2,2,1.0,True
Edible plants,2,2,2,2,2,2,1.0,True
Dentinal Tubule,14,14,14,14,14,14,1.0,True
Hypogonadotrophic hypogonadism,14,14,14,14,14,14,1.0,True
Peroneal Artery,14,14,14,14,14,14,1.0,True
Ursus maritimus,2,2,2,2,2,2,1.0,True
Atrial Appendage,14,14,14,14,14,14,1.0,True
Acetyltransferases,2,2,2,2,14,2,0.8,True
Myeloproliferative Disorders,14,14,14,14,14,14,1.0,True
Corneal ulceration,14,14,14,14,14,14,1.0,True
Anisakis simplex,2,2,2,2,2,2,1.0,True
Serotonin Antagonists,14,14,14,14,14,14,1.0,True
Deoxycoformycin,14,14,14,14,14,14,1.0,True
Axillary nodes,14,14,14,14,14,14,1.0,True
Upper endoscopy,14,14,14,14,14,14,1.0,True
Recurrent breast cancer,14,14,14,14,14,14,1.0,True
Radon Daughters,8,16,14,16,16,16,0.6,True
Pneumococcal vaccination,14,14,14,14,14,14,1.0,True
Haemagglutination inhibition,14,14,14,14,14,14,1.0,True
Small airways,14,14,14,14,14,14,1.0,True
Gentamicin Sulfate,14,14,14,14,14,14,1.0,True
Cardiac Ventricle,14,14,14,14,14,14,1.0,True
Orbital Fracture,14,14,14,14,14,14,1.0,True
Chronic respiratory failure,14,14,14,14,14,14,1.0,True
Transvestism,19,18,19,18,18,18,0.6,True
Pound Sterling,6,6,6,6,6,6,1.0,True
Clorgyline,14,14,4,14,14,14,0.8,True
Neuroeffector,14,2,14,14,14,14,0.8,True
Carotid-Cavernous Sinus Fistula,14,14,14,14,14,14,1.0,True
INFECTIOUS PROCESS,14,14,14,14,14,14,1.0,True
P-Chloroamphetamine,4,4,4,4,14,4,0.8,True
Adrenergic Neurons,14,2,2,2,14,2,0.6,True
Total pancreatectomy,14,14,14,14,14,14,1.0,True
Microbiological Techniques,2,2,2,2,2,2,1.0,True
Bronchial obstruction,14,14,14,14,14,14,1.0,True
Endodontist,14,14,14,14,14,14,1.0,True
Reproductive Endocrinology,14,14,14,14,14,14,1.0,True
Steroid Metabolism,2,2,2,4,14,2,0.6,True
Smoke Inhalation Injury,14,14,14,14,14,14,1.0,True
Cephalosporin Antibiotic,14,14,14,14,14,14,1.0,True
Speechreading,18,19,18,18,18,18,0.8,True
Human Parainfluenza Virus,14,14,14,14,14,14,1.0,True
Gonial angle,14,14,14,14,14,14,1.0,True
Acute ST segment elevation myocardial infarction,14,14,14,14,14,14,1.0,True
Complement C1q,2,2,2,14,14,2,0.6,True
Nose diseases,14,14,14,14,14,14,1.0,True
Intermediary Metabolism,2,2,2,2,14,2,0.8,True
Zoysia japonica,2,2,2,2,2,2,1.0,True
Tooth Remineralization,14,14,14,14,14,14,1.0,True
Nematocyst,2,2,2,2,2,2,1.0,True
Dynamic simulation model,5,5,7,5,7,5,0.6,True
Mycoplasma synoviae,2,2,2,2,14,2,0.8,True
5-hydroxymethylfurfural,4,4,4,4,4,4,1.0,True
Laryngeal Edema,14,14,14,14,14,14,1.0,True
Organizing pneumonia,14,14,14,14,14,14,1.0,True
Physical Stimulation,14,2,18,14,18,14,0.4,True
Citrobacter rodentium,2,2,2,2,2,2,1.0,True
Geographically Weighted Regression,9,9,9,9,9,9,1.0,True
Androgen Receptor Antagonists,14,14,14,14,14,14,1.0,True
ATP Binding Cassette Transporter 1,2,2,2,2,2,2,1.0,True
Antithrombins,14,14,14,14,14,14,1.0,True
Checkpoint Kinase 2,2,2,2,2,14,2,0.8,True
Connective Tissue Disorder,14,14,14,14,14,14,1.0,True
Adenylate Cyclase Toxin,2,2,14,2,14,2,0.6,True
Pyridinium Compounds,4,4,4,4,4,4,1.0,True
Balloon valvuloplasty,14,14,14,14,14,14,1.0,True
Lactosylceramide,4,2,2,4,14,2,0.4,True
Benzothiadiazines,4,4,4,4,4,4,1.0,True
Lumbar sympathectomy,14,14,14,14,14,14,1.0,True
Muscle belly,14,2,14,2,14,14,0.6,True
Chondroitin sulphate,14,2,14,14,14,14,0.8,True
Hemimegalencephaly,14,14,14,14,14,14,1.0,True
Corneal graft,14,14,14,14,14,14,1.0,True
Sugar acids,4,4,4,4,4,4,1.0,True
Leukocyte Trafficking,14,2,14,14,14,14,0.8,True
Genetic Condition,14,2,14,14,14,14,0.8,True
Ebola Hemorrhagic Fever,14,14,14,14,14,14,1.0,True
Cerebrovascular disorder,14,14,14,14,14,14,1.0,True
Cervical Artery,14,14,14,14,14,14,1.0,True
Congenital glaucoma,14,14,14,14,14,14,1.0,True
Vesicular Stomatitis,14,14,14,14,14,14,1.0,True
Seborrhoeic dermatitis,14,14,14,14,14,14,1.0,True
Leptomeninges,14,14,14,14,14,14,1.0,True
Proto-Oncogene Proteins c-myc,2,2,2,14,14,2,0.6,True
Picornaviridae,2,2,2,2,14,2,0.8,True
Tentorium cerebelli,14,14,14,14,14,14,1.0,True
Dental enamel,14,14,14,14,14,14,1.0,True
Enterobius,2,2,2,14,14,2,0.6,True
Nerve sheath neoplasm,14,14,14,14,14,14,1.0,True
Diabetic ulcers,14,14,14,14,14,14,1.0,True
Plodia interpunctella,2,2,2,2,2,2,1.0,True
HIV Antigens,14,2,14,14,14,14,0.8,True
Left Pulmonary Vein,14,14,14,14,14,14,1.0,True
Connexin 32,2,2,2,2,14,2,0.8,True
HER2 negative,14,14,14,14,14,14,1.0,True
Extrahepatic Biliary Atresia,14,14,14,14,14,14,1.0,True
Sleep Stages,14,2,14,14,14,14,0.8,True
Street drugs,14,19,14,19,14,14,0.6,True
Lymphatic Endothelium,14,2,14,14,14,14,0.8,True
5 Alpha-Reductase Inhibitor,14,14,14,14,14,14,1.0,True
Physician Office,14,14,14,14,14,14,1.0,True
Klebsiella infections,14,14,14,14,14,14,1.0,True
Nucleic acid detection,2,14,2,2,14,2,0.6,True
Penile Diseases,14,14,14,14,14,14,1.0,True
Trendelenburg,14,14,14,14,14,14,1.0,True
Family disruption,19,19,19,19,19,19,1.0,True
Uncompensated Care,14,14,14,14,14,14,1.0,True
Metal poisoning,14,14,14,14,14,14,1.0,True
Bile Duct Diseases,14,14,14,14,14,14,1.0,True
Viral therapy,14,14,14,14,14,14,1.0,True
M2 Macrophage,2,2,14,2,14,2,0.6,True
SOY ISOFLAVONES,4,4,2,4,14,4,0.6,True
Hemorrhagic diathesis,14,14,14,14,14,14,1.0,True
Intraoperative Awareness,14,14,14,14,14,14,1.0,True
Chaetomium globosum,2,2,2,2,2,2,1.0,True
American mink,2,2,2,2,2,2,1.0,True
Mycobacterium Infections,14,14,14,14,14,14,1.0,True
Acceleration time,16,16,16,16,16,16,1.0,True
Primary Insomnia,14,14,14,14,14,14,1.0,True
Barrett's oesophagus,14,14,14,14,14,14,1.0,True
Sustained ventricular tachycardia,14,14,14,14,14,14,1.0,True
Hypermetropia,14,14,14,14,14,14,1.0,True
Dextran 70,14,14,14,14,14,14,1.0,True
Mallinckrodt,3,14,3,4,14,3,0.4,True
Genetic Fitness,2,2,2,2,2,2,1.0,True
Polyvinyls,4,12,12,4,12,12,0.6,True
Electrophysiologic study,14,14,14,14,14,14,1.0,True
Poliomyelitis vaccine,14,14,14,14,14,14,1.0,True
Pes planus,14,14,14,14,14,14,1.0,True
Enterovirus Infections,14,14,14,14,14,14,1.0,True
Localized Scleroderma,14,14,14,14,14,14,1.0,True
Rehearsing,1,1,1,18,18,1,0.6,True
Dalbergia sissoo,2,2,2,2,2,2,1.0,True
Benztropine,14,14,14,14,14,14,1.0,True
Ciliopathies,14,14,14,14,14,14,1.0,True
Cephradine,14,14,14,14,14,14,1.0,True
Basilic Vein,14,14,14,14,14,14,1.0,True
Thyroid disorder,14,14,14,14,14,14,1.0,True
Polychlorinated Dibenzo-p-dioxins,8,4,8,8,8,8,0.8,True
Autoimmune Gastritis,14,14,14,14,14,14,1.0,True
Epiphysiolysis,14,14,14,14,14,14,1.0,True
Transgender people,19,19,19,18,18,19,0.6,True
Antenatal screening,14,14,14,14,14,14,1.0,True
Sitotroga cerealella,2,2,2,2,2,2,1.0,True
Visual pigments,2,2,2,2,2,2,1.0,True
Lower limb amputation,14,14,14,14,14,14,1.0,True
Persistent pulmonary hypertension,14,14,14,14,14,14,1.0,True
Allium fistulosum,2,2,2,2,2,2,1.0,True
Infantile colic,14,14,14,14,14,14,1.0,True
Petechial rash,14,14,14,14,14,14,1.0,True
Metacarpus,14,2,2,14,14,14,0.6,True
Gastric biopsy,14,14,14,14,14,14,1.0,True
Ethical theories,15,15,15,15,15,15,1.0,True
Acridine derivatives,4,4,4,4,4,4,1.0,True
Ocular Melanoma,14,14,14,14,14,14,1.0,True
Aspartate Aminotransferases,2,2,14,2,14,2,0.6,True
Right ventricular failure,14,14,14,14,14,14,1.0,True
Biochemical Phenomena,2,2,2,4,4,2,0.6,False
Patient privacy,14,14,14,14,14,14,1.0,True
Fibroepithelial Polyp,14,14,14,14,14,14,1.0,True
Amino Acyl-tRNA Synthetases,2,2,2,2,2,2,1.0,True
White Wine,4,3,4,4,4,4,0.8,True
Thrombospondins,14,2,2,2,14,2,0.6,True
Lung volume reduction,14,14,14,14,14,14,1.0,True
Lymphoplasmacytic Lymphoma,14,14,14,14,14,14,1.0,True
Genital tuberculosis,14,14,14,14,14,14,1.0,True
Lemna gibba,2,2,2,2,2,2,1.0,True
Amaryllidaceae Alkaloids,4,4,4,4,14,4,0.8,True
Analytical Ultracentrifugation,2,4,4,4,16,4,0.6,True
Otologic Surgical Procedures,14,14,14,14,14,14,1.0,True
Wrongful death,14,17,19,17,17,17,0.6,True
Heliothis zea,2,2,2,2,2,2,1.0,True
Torque teno virus,14,2,14,2,14,14,0.6,True
Infrared Spectrophotometry,4,4,4,4,4,4,1.0,True
Paget Disease,14,14,14,14,14,14,1.0,True
Arteriosclerotic heart disease,14,14,14,14,14,14,1.0,True
Sprouting angiogenesis,2,2,2,2,14,2,0.8,True
Cardiorespiratory arrest,14,14,14,14,14,14,1.0,True
Sexual discrimination,19,19,19,19,17,19,0.8,True
Back muscles,14,2,14,2,14,14,0.6,True
Chondromatosis,14,14,14,14,14,14,1.0,True
Nab-paclitaxel,14,14,14,14,14,14,1.0,True
Greater Tuberosity,14,14,14,14,14,14,1.0,True
Truth telling,15,15,15,15,15,15,1.0,True
Food stamps,6,17,17,6,17,17,0.6,True
General anesthetics,14,14,14,14,14,14,1.0,True
Chemodectoma,14,14,14,14,14,14,1.0,True
Postural Orthostatic Tachycardia Syndrome,14,14,14,14,14,14,1.0,True
Fowlpox virus,2,2,2,2,14,2,0.8,True
Moraxella (Branhamella) catarrhalis,2,2,14,2,14,2,0.6,True
Deoxyribonucleotides,2,2,2,2,4,2,0.8,True
Extrapleural Pneumonectomy,14,14,14,14,14,14,1.0,True
Bony union,14,14,14,14,14,14,1.0,True
Neurological problems,14,14,14,14,14,14,1.0,True
Medicare Part B,14,14,14,14,14,14,1.0,True
Common Duct,14,14,14,14,14,14,1.0,True
Snowshoe hare,2,2,2,2,2,2,1.0,True
Babesia bigemina,2,2,2,2,2,2,1.0,True
Hypertensive crisis,14,14,14,14,14,14,1.0,True
Myxofibrosarcoma,14,14,14,14,14,14,1.0,True
Ferrous sulphate,4,4,4,4,4,4,1.0,True
Altered Mental Status,14,14,14,14,14,14,1.0,True
CERVIX CARCINOMA,14,14,14,14,14,14,1.0,True
Alpha ketoglutarate,4,4,4,4,4,4,1.0,True
Total energy expenditure,14,2,14,14,14,14,0.8,True
Pharyngeal Diseases,14,14,14,14,14,14,1.0,True
Augmentation Mammoplasty,14,14,14,14,14,14,1.0,True
Severe Malaria,14,14,14,14,14,14,1.0,True
Cocaine abuse,14,14,14,14,14,14,1.0,True
Distal interphalangeal joint,14,14,14,14,14,14,1.0,True
Drosophila subobscura,2,2,2,2,2,2,1.0,True
Cercopithecus aethiops,2,2,2,2,2,2,1.0,True
Myrtus communis,2,2,2,2,2,2,1.0,True
Nepheline syenite,10,10,10,10,10,10,1.0,True
Hippoglossus hippoglossus,2,2,2,2,2,2,1.0,True
Drug-drug interaction,14,14,14,14,14,14,1.0,True
Vasospastic angina,14,14,14,14,14,14,1.0,True
Open Prostatectomy,14,14,14,14,14,14,1.0,True
Varicose Ulcer,14,14,14,14,14,14,1.0,True
Family Leave,3,19,19,17,17,19,0.4,True
Cardiac Ablation,14,14,14,14,14,14,1.0,True
Eosinophil Granule Proteins,2,2,14,2,14,2,0.6,True
Autonomic ganglion,14,2,14,14,14,14,0.8,True
Tomato spotted wilt virus,2,2,2,2,2,2,1.0,True
Nasal decongestant,14,14,14,14,14,14,1.0,True
Enteropathogenic Escherichia coli,14,14,14,2,14,14,0.8,True
Near Drowning,14,14,14,14,14,14,1.0,True
Ground Level Ozone,8,8,8,8,8,8,1.0,True
West Syndrome,14,14,14,14,14,14,1.0,True
Dietary salt,14,14,14,14,14,14,1.0,True
End-stage kidney disease,14,14,14,14,14,14,1.0,True
Pyloric Antrum,14,14,14,14,14,14,1.0,True
Syrian hamsters,2,2,2,2,2,2,1.0,True
Adenomatous polyps,14,14,14,14,14,14,1.0,True
Ataxic Gait,14,14,14,14,14,14,1.0,True
Peptidyl-Dipeptidase A,14,2,2,14,14,14,0.6,True
Methylamines,4,4,4,4,4,4,1.0,True
Adolescent psychology,18,18,18,18,18,18,1.0,True
Watercress,2,2,2,2,2,2,1.0,True
Lipid digestion,2,2,2,2,14,2,0.8,True
MERCURY EXPOSURE,8,8,8,14,14,8,0.6,True
Chemo-radiotherapy,14,14,14,14,14,14,1.0,True
Epsilon-Aminocaproic Acid,14,14,14,14,4,14,0.8,True
Somatostatin Analogue,14,14,14,14,14,14,1.0,True
Behaviour modification,18,18,18,18,18,18,1.0,True
Anterior shoulder dislocation,14,14,14,14,14,14,1.0,True
Pyridoxal 5-Phosphate,4,4,4,4,4,4,1.0,True
Evening Primrose Oil,14,14,14,14,14,14,1.0,True
Zona pellucida glycoprotein,2,2,2,2,14,2,0.8,True
HLA-B Antigens,14,2,14,2,14,14,0.6,True
Benzazepines,4,4,4,4,4,4,1.0,True
Adaptive behaviour,18,18,18,18,18,18,1.0,True
Colonic Pseudo-Obstruction,14,14,14,14,14,14,1.0,True
Gold Compounds,4,4,4,4,4,4,1.0,True
Free testosterone,14,14,14,14,14,14,1.0,True
Leiomyomatosis,14,14,14,14,14,14,1.0,True
Arranged Marriage,19,19,19,19,19,19,1.0,True
Thigmotaxis,2,2,2,2,2,2,1.0,True
Occipital region,14,14,14,14,14,14,1.0,True
Physiological Adaptations,2,2,2,2,2,2,1.0,True
Labyrinth Diseases,14,14,14,14,14,14,1.0,True
Diffuse Idiopathic Skeletal Hyperostosis,14,14,14,14,14,14,1.0,True
Coronary artery occlusion,14,14,14,14,14,14,1.0,True
Biochemist,2,2,2,4,2,2,0.8,True
Skeletal disorder,14,14,14,14,14,14,1.0,True
Bladder Neoplasm,14,14,14,14,14,14,1.0,True
Mucopolysaccharidosis type I,14,14,14,14,14,14,1.0,True
Meconium Ileus,14,14,14,14,14,14,1.0,True
Lower blood pressure,14,14,14,14,14,14,1.0,True
Ilizarov Technique,14,14,14,14,14,14,1.0,True
Pulmonary Blastoma,14,14,14,14,14,14,1.0,True
Bone Infection,14,14,14,14,14,14,1.0,True
Postural tremor,14,14,14,14,14,14,1.0,True
Vasomotor Rhinitis,14,14,14,14,14,14,1.0,True
Desmoglein 1,2,2,2,14,14,2,0.6,True
Adrenodoxin,2,2,2,2,14,2,0.8,True
C4 photosynthesis,2,2,2,2,2,2,1.0,True
Poly-3-hydroxybutyrate,4,12,4,4,4,4,0.8,True
Bronchial Diseases,14,14,14,14,14,14,1.0,True
Oral hypoglycemic agents,14,14,14,14,14,14,1.0,True
Prodromal Stage,14,14,14,14,14,14,1.0,True
Haemolytic disease,14,14,14,14,14,14,1.0,True
Congenital ichthyosis,14,14,14,14,14,14,1.0,True
Cervical insufficiency,14,14,14,14,14,14,1.0,True
Tympanic Membrane Perforation,14,14,14,14,14,14,1.0,True
Acidithiobacillus ferrooxidans,2,2,2,2,2,2,1.0,True
Antiporters,2,2,2,2,2,2,1.0,True
Pyridostigmine Bromide,14,14,14,14,14,14,1.0,True
Sphygmomanometer,14,14,14,14,14,14,1.0,True
Picea engelmannii,2,2,2,2,2,2,1.0,True
Adolescent Obesity,14,14,14,14,14,14,1.0,True
Chromosomal region,2,2,2,2,2,2,1.0,True
Ergonovine,14,14,14,14,14,14,1.0,True
Anterior chamber angle,14,14,14,14,14,14,1.0,True
Automatic Data Processing,5,5,5,5,5,5,1.0,True
Hairy Cell,14,14,14,14,14,14,1.0,True
Pelvic Floor Disorders,14,14,14,14,14,14,1.0,True
Melanophore,2,2,2,2,2,2,1.0,True
Myocardial imaging,14,14,14,14,14,14,1.0,True
Blastocyst Transfer,14,14,14,14,14,14,1.0,True
Anus Diseases,14,14,14,14,14,14,1.0,True
Platelet Glycoprotein GPIIb-IIIa Complex,14,14,14,14,14,14,1.0,True
Transabdominal ultrasound,14,14,14,14,14,14,1.0,True
Chronic diarrhea,14,14,14,14,14,14,1.0,True
Pregnancy termination,14,14,14,14,14,14,1.0,True
Second-Degree Burn,14,14,14,14,14,14,1.0,True
First metatarsal,14,14,14,14,14,14,1.0,True
